strategy,year,days,pnl,ret,sharpe,max_dd,worst_day,best_day,active_frac
combo_full_v3,ALL,3933,1428930.8,0.4763,1.996,-0.0157,-16831.5,28634.6,0.814
combo_full_v3,2010,124,73556.0,0.0245,2.927,-0.0065,-6573.0,13315.0,1.0
combo_full_v3,2011,244,20594.0,0.0069,0.878,-0.0092,-5511.0,5638.0,0.918
combo_full_v3,2012,243,14212.0,0.0047,0.658,-0.0032,-7480.0,9293.0,0.498
combo_full_v3,2013,238,55154.0,0.0184,3.033,-0.0021,-3389.0,7106.0,0.748
combo_full_v3,2014,245,27683.0,0.0092,1.48,-0.003,-6404.0,6965.0,0.38
combo_full_v3,2015,244,41758.0,0.0139,1.565,-0.0077,-4942.0,12436.0,0.594
combo_full_v3,2016,244,-17572.0,-0.0059,-0.671,-0.0096,-12015.0,6360.0,0.643
combo_full_v3,2017,244,14902.0,0.005,0.545,-0.0067,-7594.0,10365.0,0.602
combo_full_v3,2018,243,30427.2,0.0101,1.034,-0.0076,-5943.5,10878.4,0.942
combo_full_v3,2019,244,73106.8,0.0244,2.536,-0.0045,-5122.0,8793.0,0.91
combo_full_v3,2020,242,131010.7,0.0437,2.722,-0.0059,-11043.1,16537.4,0.901
combo_full_v3,2021,243,128880.3,0.043,2.186,-0.0085,-13434.1,15497.0,1.0
combo_full_v3,2022,242,137689.8,0.0459,2.173,-0.0104,-13508.9,28634.6,1.0
combo_full_v3,2023,241,77667.9,0.0259,1.473,-0.0157,-8455.6,17071.4,0.996
combo_full_v3,2024,241,271297.1,0.0904,4.235,-0.0074,-12060.2,18725.9,0.988
combo_full_v3,2025,243,246131.7,0.082,3.311,-0.0132,-14549.2,26130.6,0.934
combo_full_v3,2026,168,102432.3,0.0341,2.574,-0.0075,-16831.5,14359.3,0.917
combo_full_no_weather,ALL,3933,1119034.2,0.373,1.727,-0.0133,-16550.8,28634.6,0.749
combo_full_no_weather,2010,124,73556.0,0.0245,2.927,-0.0065,-6573.0,13315.0,1.0
combo_full_no_weather,2011,244,20594.0,0.0069,0.878,-0.0092,-5511.0,5638.0,0.918
combo_full_no_weather,2012,243,14212.0,0.0047,0.658,-0.0032,-7480.0,9293.0,0.498
combo_full_no_weather,2013,238,55154.0,0.0184,3.033,-0.0021,-3389.0,7106.0,0.748
combo_full_no_weather,2014,245,27683.0,0.0092,1.48,-0.003,-6404.0,6965.0,0.38
combo_full_no_weather,2015,244,41758.0,0.0139,1.565,-0.0077,-4942.0,12436.0,0.594
combo_full_no_weather,2016,244,-17572.0,-0.0059,-0.671,-0.0096,-12015.0,6360.0,0.643
combo_full_no_weather,2017,244,14902.0,0.005,0.545,-0.0067,-7594.0,10365.0,0.602
combo_full_no_weather,2018,243,30427.2,0.0101,1.034,-0.0076,-5943.5,10878.4,0.942
combo_full_no_weather,2019,244,73106.8,0.0244,2.536,-0.0045,-5122.0,8793.0,0.91
combo_full_no_weather,2020,242,99098.4,0.033,2.408,-0.0059,-5910.0,14535.0,0.74
combo_full_no_weather,2021,243,78243.0,0.0261,1.66,-0.0088,-10902.1,15176.9,0.893
combo_full_no_weather,2022,242,72161.2,0.0241,1.335,-0.0075,-15366.0,28634.6,0.897
combo_full_no_weather,2023,241,69340.4,0.0231,1.556,-0.0099,-8986.0,12170.0,0.896
combo_full_no_weather,2024,241,163468.4,0.0545,2.881,-0.0081,-13254.6,13118.2,0.846
combo_full_no_weather,2025,243,237171.3,0.0791,3.448,-0.0096,-10922.1,27559.7,0.798
combo_full_no_weather,2026,168,65730.6,0.0219,1.689,-0.0101,-16550.8,14837.3,0.476
core_final_or_dual_final,ALL,3933,646583.0,0.2155,1.256,-0.0133,-15397.3,22759.0,0.654
core_final_or_dual_final,2010,124,73556.0,0.0245,2.927,-0.0065,-6573.0,13315.0,1.0
core_final_or_dual_final,2011,244,20594.0,0.0069,0.878,-0.0092,-5511.0,5638.0,0.918
core_final_or_dual_final,2012,243,14212.0,0.0047,0.658,-0.0032,-7480.0,9293.0,0.498
core_final_or_dual_final,2013,238,55154.0,0.0184,3.033,-0.0021,-3389.0,7106.0,0.748
core_final_or_dual_final,2014,245,27683.0,0.0092,1.48,-0.003,-6404.0,6965.0,0.38
